"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","615","","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","621","","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","593","","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","642","","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","665","","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","656","","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135545","192.3.3","696","","","","0"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135561","192.3.4","","F","","","0"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v42135593","192.2.2","","F","","","0"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135609","192.2.3","","F","","","0"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135625","192.2.4","","F","","","0"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v42135657","192.1.2","","F","","","0"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","561","","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","563","","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","593","","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","632","","","","0"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","575","","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","","F","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","591","","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","621","","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","628","","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","","F","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v42135673","192.1.3","677","","","","0"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v42135689","192.1.4","","F","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","503","","","","0"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","521","","","","0"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","551","","","","0"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","574","","","","0"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","582","","","","0"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","610","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","610","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","612","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","632","","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","643","","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823029","2.3.2","654","","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","584","","","","0"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","610","","","","0"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","705","","","","0"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","739","","","","0"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","733","","","","0"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","756","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","760","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","759","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","771","","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","813","","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823163","2.3.3","814","","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","734","","","","0"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","738","","","","0"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","795","","","","0"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","769","","","","0"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","798","","","","0"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","835","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","858","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","821","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","870","","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","829","","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823297","2.3.4","857","","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823565","2.2.2","","F","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823699","2.2.3","","F","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823833","2.2.4","","F","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","507","","","","0"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","527","","","","0"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","556","","","","0"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","574","","","","0"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","582","","","","0"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","610","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","610","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","612","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","632","","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","643","","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824101","2.1.2","654","","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","584","","","","0"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","610","","","","0"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","706","","","","0"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","743","","","","0"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","733","","","","0"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","756","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","760","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","759","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","774","","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","813","","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824235","2.1.3","814","","","","0"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824369","2.1.4","737","","","","0"
